#ID	start_group[0-10]	arrival_time_s_after_start
F13	0	1018.0
M3719	1	1018.0
M3339	1	1020.0
P3027	1	1020.0
M1205	1	1022.0
M1044	1	1023.0
M13247	1	1024.0
F60	0	1025.0
F7	0	1026.0
M3262	1	1026.0
M1073	1	1027.0
M210	0	1027.0
F81	0	1027.0
M4195	1	1027.0
M1172	1	1028.0
M1165	1	1028.0
M4755	1	1029.0
M3270	1	1029.0
M1137	1	1029.0
M1144	1	1029.0
M1149	1	1030.0
M4519	1	1030.0
M13195	1	1030.0
F28	0	1031.0
M161	0	1031.0
M1173	1	1032.0
M2325	2	1032.0
M3742	1	1033.0
M13190	1	1033.0
M2352	1	1034.0
F74	0	1034.0
M3223	1	1034.0
M1124	1	1035.0
M2357	1	1035.0
M11031	1	1035.0
M1223	1	1035.0
M1225	1	1035.0
M1177	1	1036.0
P2494	1	1036.0
F44	0	1036.0
M3365	1	1036.0
F82	0	1036.0
M1002	1	1038.0
F27	0	1039.0
M1228	1	1040.0
M1217	1	1042.0
M301	0	1043.0
M1186	1	1043.0
F17	0	1046.0
F24	0	1046.0
M1091	1	1046.0
F36	0	1047.0
M2071	1	1051.0
M4690	1	1051.0
F39	0	1052.0
M2222	2	1052.0
M1171	1	1052.0
M1104	1	1053.0
M3201	1	1054.0
M249	0	1055.0
M1183	1	1055.0
M1107	1	1056.0
M1020	1	1057.0
M1052	1	1058.0
M1113	1	1058.0
M1014	1	1058.0
M3755	1	1059.0
M2232	1	1059.0
M2214	2	1060.0
P1655	1	1060.0
P2530	1	1061.0
P2461	1	1061.0
M1198	1	1062.0
P1053	1	1062.0
V1106	1	1062.0
M1065	1	1063.0
F34	0	1063.0
M3315	1	1064.0
P2568	1	1064.0
M1220	1	1064.0
V1210	1	1065.0
M3230	1	1065.0
M12523	1	1065.0
M1051	1	1066.0
M226	0	1066.0
M1156	1	1069.0
M1017	1	1070.0
M3217	1	1071.0
M223	0	1071.0
M265	0	1071.0
M3200	1	1072.0
P2936	1	1072.0
M4798	1	1073.0
M12909	1	1073.0
M3305	1	1074.0
M2068	1	1074.0
M3394	1	1074.0
M1098	1	1074.0
M1064	1	1077.0
M2369	1	1078.0
M1036	1	1078.0
M1168	1	1081.0
F88	0	1081.0
M1058	1	1082.0
M1196	1	1083.0
F84	0	1085.0
F91	0	1085.0
